Geneid	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000022797	Tfrc	611.1252618203408	-1.5618615689665485	0.1563747831259333	-9.987937554539943	1.7212569420325662e-23	2.2205935809162137e-19
ENSMUSG00000007872	Id3	1057.3472246068914	-1.5722132573328256	0.2209217439109366	-7.116607127484267	1.1061620654423697e-12	2.378432801045335e-09
ENSMUSG00000039323	Igfbp2	6568.155746050366	-1.2946669850669226	0.1830927332566662	-7.071099775718625	1.5371056437625713e-12	2.832885701454419e-09
ENSMUSG00000008845	Cd163	70.66204039789696	-3.500262984133962	0.5713051543810272	-6.126783483909356	8.96733663392556e-10	1.4460951239284203e-06
ENSMUSG00000054252	Fgfr3	1387.397535534266	-0.6087365725298084	0.1023294796679135	-5.948789874680503	2.7013215196996512e-09	3.168158993240472e-06
ENSMUSG00000023272	Creld2	973.2103923746304	-1.2194586963362772	0.2168820594627075	-5.622681282893114	1.8801609462176195e-08	1.7325683119395365e-05
ENSMUSG00000024247	Pkdcc	835.8904851747186	-0.9480467289766628	0.1764074595535613	-5.37418730123946	7.69288597545399e-08	6.202870123083246e-05
ENSMUSG00000062624	Cyp2c67	2269.79536446548	-0.5955473730504016	0.1120970960984616	-5.312781452672925	1.0796449113858501e-07	7.738055000993805e-05
ENSMUSG00000019189	Rnf145	892.8104789785745	-0.7439764411372718	0.1408391648964921	-5.282454221338555	1.2746469248905078e-07	8.591917386662706e-05
ENSMUSG00000068877	Selenbp2	136.59348084864888	-1.9441501760716335	0.3707822006507938	-5.243375147618406	1.5766551031058874e-07	9.6859178500805e-05
ENSMUSG00000020484	Xbp1	5078.080974930254	-0.5247256445801655	0.1011624269048814	-5.186961806220226	2.1375254723934758e-07	0.0001198965918232
ENSMUSG00000066477	Gm16551	90.73779140220944	-1.393265190622323	0.2727594833724613	-5.108035744149645	3.25525080888435e-07	0.0001679839627416
ENSMUSG00000021986	Amer2	35.204964111713224	-2.362232070211778	0.4675371127938826	-5.0525017278215225	4.360604111377103e-07	0.0002083561245958
ENSMUSG00000056612	Ppp1r14b	191.8250556710834	-0.8878349029710773	0.1777584313877215	-4.994614860403205	5.895329692600519e-07	0.0002622608564284
ENSMUSG00000034118	Tpst1	534.3755509579538	-0.6651586463835727	0.1347042915275352	-4.937917261883269	7.896132772666004e-07	0.0003395600296672
