Geneid	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000074794	Arrdc3	2392.811004975925	-1.520675570607647	0.2412317248043449	-6.303795953210616	2.9044281273870576e-10	4.648537217882986e-06
ENSMUSG00000048489	Depp1	886.2782837879232	-1.0127635239041286	0.2183371059040723	-4.6385314109141484	3.5089361227021263e-06	0.0080229318062639
ENSMUSG00000020473	Aebp1	118.23910794375244	-1.3103154995826805	0.2978207053725026	-4.399678987878926	1.0841112800967834e-05	0.0156178097804198
ENSMUSG00000109089	4833411C07Rik	331.1955154066168	-1.398026762437379	0.3264212253392203	-4.282891717548499	1.8447996208595374e-05	0.0210900128084692
ENSMUSG00000032735	Ablim3	640.3041481842721	-0.8626230333747398	0.2075301277684124	-4.156615921989699	3.229963173731472e-05	0.0323097253722326
ENSMUSG00000042474	Fcmr	43.65570701543846	-2.5455070932069823	0.6352181575392948	-4.007295860476905	6.141790703067848e-05	0.0468092191440956
