	PC1	PC2	condition	replicate
C-Ba-1	-5.8680619049995935	22.10264920058472	BSL	1
C-Ba-2	19.121368484169043	18.031797879176995	BSL	2
C-Ba-3	-4.127454101327475	22.24570648298186	BSL	3
C-FLT-1	9.820361288702466	-12.970842894742587	FLT	1
C-FLT-2	-23.833093034137597	-14.252947941186605	FLT	2
C-FLT-4	-23.285618352541103	-15.612243659628263	FLT	4
C-GC-2	-9.27991711880285	-4.432089299650414	GC	2
C-GC-3	-4.562671761713392	2.261276866653699	GC	3
C-GC-5	42.01508650065057	-17.373306634189426	GC	5
