Geneid	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000048489	Depp1	886.2782837879232	1.900517726707681	0.2200772747168737	8.635683666805988	5.837684687615239e-18	3.76559850774621e-14
ENSMUSG00000028211	Trp53inp1	4126.133478217476	1.174636077034989	0.1483741829208001	7.91671471351584	2.4386842863908924e-15	1.0487155326242967e-11
ENSMUSG00000060961	Slc4a4	3923.026403386013	1.0117828454558593	0.1379729248135346	7.333198501251218	2.247237001245811e-13	7.24790113826805e-10
ENSMUSG00000050423	Ppp1r3g	305.4097586927354	3.0069385951471816	0.4200951675324724	7.157755736180306	8.200850834828709e-13	2.1159835324025033e-09
ENSMUSG00000022462	Slc38a2	7019.753527481062	1.1812813514319054	0.1945708100368169	6.0712156731443025	1.2694556169020707e-09	1.8196941015170683e-06
ENSMUSG00000031618	Nr3c2	433.22591161172625	1.4245290705757667	0.2356302632219596	6.0456116760939365	1.4884420725163411e-09	1.9202391177533314e-06
ENSMUSG00000034936	Arl4d	1419.8682825471917	1.5590619298767032	0.2715568473467381	5.741199108435702	9.400847758776388e-09	1.0106694744664516e-05
ENSMUSG00000031561	Tenm3	1071.3509199081043	0.8873513280510774	0.1569015358967471	5.655466168508513	1.5542384375005164e-08	1.5424023140149356e-05
ENSMUSG00000032607	Amt	1282.79953720064	0.6336871222165072	0.1138318748212308	5.56686888634393	2.593573932123797e-08	2.230646486555274e-05
ENSMUSG00000028980	H6pd	9580.703687669102	0.4158321169862529	0.0778299687032118	5.342827755359137	9.150770801643924e-08	6.944358477176956e-05
ENSMUSG00000050965	Prkca	511.55655695029975	0.8531238198966737	0.1617483097012472	5.274390944006849	1.3319769609584848e-07	8.591917386662706e-05
ENSMUSG00000020173	Cobl	433.89408919956	0.6381350720093981	0.1228184325313315	5.195759780166602	2.0388539863182413e-07	0.0001195602512613
ENSMUSG00000040612	Ildr2	3732.1590478327344	0.528320366693611	0.1024284418268546	5.157945950077865	2.496736644859247e-07	0.0001342099977305
ENSMUSG00000032599	Ip6k2	1253.1523806975338	1.3089151961799843	0.2567043515088963	5.098920951227517	3.415951578496979e-07	0.0001694968896699
ENSMUSG00000044786	Zfp36	6085.200236607206	0.7866940249514549	0.1561733472246114	5.037312953406941	4.721125365167646e-07	0.0002175258512
