Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
C-FLT-1_S60_L006_R1_001	(1, 0.01855660695500609)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0026934269252458475)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0005267901241805758)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.00333916965811236)	(24, 0.0041463480741955)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0012150159315777798)	(44, 1.699322981227664e-05)	(45, 0.8978967734359793)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-1_S60_L007_R1_001	(1, 0.02973738798165373)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0006939880509137394)	(8, 0.0)	(9, 0.0)	(10, 0.0010496569270070308)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 8.674850636421741e-06)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.003565363611569336)	(24, 0.0005638652913674133)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00013012275954632613)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-2_S61_L005_R1_001	(1, 0.03246732213245776)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.6826805976915136e-05)	(6, 0.0)	(7, 0.0006898990450535206)	(8, 8.413402988457568e-06)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 9.254743287303324e-05)	(22, 0.00010937423884994839)	(23, 0.0)	(24, 2.52402089653727e-05)	(25, 0.00032812271654984515)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 3.365361195383027e-05)	(44, 0.0)	(45, 2.52402089653727e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-2_S61_L006_R1_001	(1, 0.018560917541873143)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.002976190980903368)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0005850631842801492)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0032560038081677874)	(24, 0.004214150762133829)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.001153168015392758)	(44, 1.6958353167540557e-05)	(45, 0.8901015618812852)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-2_S61_L007_R1_001	(1, 0.029441304595348793)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0008206936433562604)	(8, 0.0)	(9, 0.0)	(10, 0.0010884989375040926)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 8.638880456381687e-06)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.003455552182552675)	(24, 0.0006306382733158632)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 7.774992410743519e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-4_S62_L005_R1_001	(1, 0.03416084374134257)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.431720190332882e-05)	(6, 0.0)	(7, 0.0007588117008764275)	(8, 2.863440380665764e-05)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 9.306181237163734e-05)	(22, 0.00015033061998495262)	(23, 0.0)	(24, 7.15860095166441e-06)	(25, 0.0004366746580515291)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 8.590321141997293e-05)	(44, 0.0)	(45, 3.579300475832205e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-4_S62_L006_R1_001	(1, 0.018118096878008638)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0026650667552020725)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0003921351628907681)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0033839812205018137)	(24, 0.004509554373243833)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0011255731527420197)	(44, 1.4523524551509931e-05)	(45, 0.8964355058928475)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-4_S62_L007_R1_001	(1, 0.031061339756468756)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0007903836751348767)	(8, 0.0)	(9, 0.0)	(10, 0.0010784674445765607)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.003479165523257261)	(24, 0.0005983278288404207)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00011818821310428064)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-GC-2_S57_L005_R1_001	(1, 0.03267460254876051)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 2.3586094236352636e-05)	(6, 0.0)	(7, 0.0008176512668602246)	(8, 1.572406282423509e-05)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 5.5034219884822815e-05)	(22, 0.00013365453400599825)	(23, 0.0)	(24, 3.144812564847018e-05)	(25, 0.0004638598533149351)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 7.862031412117545e-06)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 2.3586094236352636e-05)	(44, 7.862031412117545e-06)	(45, 3.931015706058772e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-GC-2_S57_L006_R1_001	(1, 0.0184730134111062)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0027693649830223643)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00046023830663408923)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.003031224709210725)	(24, 0.004284977337627728)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0011029849072782484)	(44, 1.5870286435658248e-05)	(45, 0.8963458427427601)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
