Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
C-FLT-1_S60_L006_R1_001	(1, 31.034182561496586)	(2, 31.489794333488568)	(3, 35.89894619034304)	(4, 36.45584287991743)	(5, 36.631610738123875)	(6, 40.95194272126014)	(7, 40.91492798311689)	(8, 41.12414038684918)	(9, 41.147062384610656)	(10, 41.11598593062531)	(11, 41.25693975891535)	(12, 41.26205064271369)	(13, 41.210555378684354)	(14, 41.19460323909653)	(15, 41.172376349400515)	(16, 41.184101338106395)	(17, 41.18150417782803)	(18, 41.1758041387521)	(19, 41.185330883249456)	(20, 41.13294993208231)	(21, 41.14851479596271)	(22, 41.168035598777266)	(23, 41.14538430316669)	(24, 41.15413131331412)	(25, 41.094234511499444)	(26, 41.11241165963274)	(27, 41.10075855228897)	(28, 41.08753008757546)	(29, 41.07916788911714)	(30, 41.070998903681776)	(31, 41.06874585630712)	(32, 41.078048290170955)	(33, 41.08355647568231)	(34, 41.0710784319973)	(35, 40.996543492090034)	(36, 40.94160370037775)	(37, 41.00142743130423)	(38, 41.000452529709904)	(39, 41.00768901165931)	(40, 40.99581108388512)	(41, 40.94836369216323)	(42, 40.94383185267073)	(43, 40.94293630945963)	(44, 40.94232234406651)	(45, 40.38803683418508)	(46, 40.85951187117296)	(47, 40.88428145784579)	(48, 40.90352832979577)	(49, 40.896777259455945)	(50, 40.89467987006637)
C-FLT-1_S60_L007_R1_001	(1, 31.038148696655742)	(2, 31.450470853542843)	(3, 35.8772763675555)	(4, 36.44712695886802)	(5, 36.62540138533895)	(6, 40.95353324931451)	(7, 40.91692303741914)	(8, 41.11441477375642)	(9, 41.140481225194264)	(10, 41.127022020934845)	(11, 41.265965108362764)	(12, 41.263241292011436)	(13, 41.20663069148275)	(14, 41.17825421406894)	(15, 41.16070993589632)	(16, 41.177067147507856)	(17, 41.179649390296795)	(18, 41.176200790174796)	(19, 41.10651484752736)	(20, 41.1251853815581)	(21, 41.15396055510716)	(22, 41.15780880559799)	(23, 41.13215423606837)	(24, 41.145145518884455)	(25, 41.13724932284116)	(26, 41.08969092895158)	(27, 41.0430784407754)	(28, 41.065087577822084)	(29, 41.07353037620398)	(30, 41.05883075505206)	(31, 41.05711287438053)	(32, 41.06015236854652)	(33, 41.07805300958328)	(34, 41.063123244643975)	(35, 41.04221902332286)	(36, 41.04689789076212)	(37, 41.02365206700871)	(38, 41.023856359741195)	(39, 41.01870167674453)	(40, 41.00507886480211)	(41, 40.94271093940304)	(42, 40.94377595081568)	(43, 40.94840259565411)	(44, 40.94913189034711)	(45, 40.94376319878524)	(46, 40.94379763794227)	(47, 40.88309571760794)	(48, 40.90273956988008)	(49, 40.83528783501406)	(50, 40.88115116308927)
C-FLT-2_S61_L005_R1_001	(1, 30.97814054875748)	(2, 31.50668019990582)	(3, 35.86140180586965)	(4, 36.43481299571245)	(5, 36.616984540456144)	(6, 40.9360710097943)	(7, 40.90458334430581)	(8, 41.10805215670434)	(9, 41.12481737657138)	(10, 41.05156633585447)	(11, 41.222467790759005)	(12, 41.22906280495957)	(13, 41.17629747504522)	(14, 41.15677652916334)	(15, 41.15331643305031)	(16, 41.14573099304994)	(17, 41.159446522601726)	(18, 41.15629494597628)	(19, 41.16368418541895)	(20, 41.13640355796082)	(21, 41.13743638731168)	(22, 41.14636502709915)	(23, 41.12359432017895)	(24, 41.1342408085886)	(25, 41.132281158764535)	(26, 41.0939769541748)	(27, 41.075069597772874)	(28, 41.066866866395245)	(29, 41.05082511505118)	(30, 41.03345000760151)	(31, 40.89598804354475)	(32, 40.999924026971016)	(33, 41.03582679394575)	(34, 41.02356585763664)	(35, 41.00791036562378)	(36, 41.02114860282403)	(37, 40.98423563855247)	(38, 40.98504046468234)	(39, 40.994917042584525)	(40, 40.99001539400345)	(41, 40.900458841758784)	(42, 40.931123255764845)	(43, 40.934909623645765)	(44, 40.934924347100996)	(45, 40.92871079659193)	(46, 40.92269058608354)	(47, 40.90953067766512)	(48, 40.90990044672646)	(49, 40.90415552276385)	(50, 40.88721109741316)
C-FLT-2_S61_L006_R1_001	(1, 31.012305489808963)	(2, 31.472924293332706)	(3, 35.87552797712793)	(4, 36.43821775169884)	(5, 36.620805033374886)	(6, 40.939188023875325)	(7, 40.900869013849714)	(8, 41.11040532329489)	(9, 41.13342654209513)	(10, 41.100322819210895)	(11, 41.24017962966009)	(12, 41.246985779912116)	(13, 41.19524304626968)	(14, 41.17906469255608)	(15, 41.15523481468505)	(16, 41.16676759713194)	(17, 41.16520954843467)	(18, 41.1618780799549)	(19, 41.17148939619614)	(20, 41.1197094389685)	(21, 41.13531409159444)	(22, 41.15305719255481)	(23, 41.13185314608824)	(24, 41.14227719140503)	(25, 41.082119892504394)	(26, 41.09750985237923)	(27, 41.086062116073485)	(28, 41.07169016613929)	(29, 41.064743855098335)	(30, 41.05635362507693)	(31, 41.05580654860374)	(32, 41.05924604179318)	(33, 41.06900803300231)	(34, 41.05717356145258)	(35, 40.98577321356892)	(36, 40.92957433346465)	(37, 40.991087367909266)	(38, 40.99091854750348)	(39, 40.99605794601444)	(40, 40.990075378183995)	(41, 40.955590651809565)	(42, 40.953452966601034)	(43, 40.941616968799515)	(44, 40.93885699682149)	(45, 40.39004576889936)	(46, 40.857328272508525)	(47, 40.87954015390384)	(48, 40.90021043620445)	(49, 40.8961013424402)	(50, 40.89322105094645)
C-FLT-2_S61_L007_R1_001	(1, 31.012922987663504)	(2, 31.43229113303582)	(3, 35.85197908976264)	(4, 36.42778595687782)	(5, 36.61266447780473)	(6, 40.93671519010634)	(7, 40.89926685277119)	(8, 41.09844133863254)	(9, 41.12552396969688)	(10, 41.10763785882238)	(11, 41.249220816177235)	(12, 41.24824928768111)	(13, 41.18945971923293)	(14, 41.161461107673794)	(15, 41.14259906247414)	(16, 41.15917370490656)	(17, 41.1626252832041)	(18, 41.159601847821975)	(19, 41.09250374970606)	(20, 41.112407471111155)	(21, 41.1420777924274)	(22, 41.14397471779801)	(23, 41.12083236649863)	(24, 41.13322198968276)	(25, 41.121321240743654)	(26, 41.07346806300923)	(27, 41.026393853125555)	(28, 41.04861011644002)	(29, 41.057850608531375)	(30, 41.042182357436445)	(31, 41.043154577043005)	(32, 41.04394175183019)	(33, 41.0637113978106)	(34, 41.049617755456445)	(35, 41.031315941654384)	(36, 41.033979654054306)	(37, 41.01175742991233)	(38, 41.010531054442744)	(39, 41.0063526007436)	(40, 40.996522245894674)	(41, 40.9468301960663)	(42, 40.95148249235848)	(43, 40.946694738420746)	(44, 40.94432837628614)	(45, 40.938257489434214)	(46, 40.93626095777194)	(47, 40.87634617514432)	(48, 40.89434882451617)	(49, 40.832519061257784)	(50, 40.87772606351962)
C-FLT-4_S62_L005_R1_001	(1, 31.01959416459485)	(2, 31.526089306410313)	(3, 35.91373620985009)	(4, 36.463453552491515)	(5, 36.63896433656592)	(6, 40.98539860163889)	(7, 40.962353633455294)	(8, 41.153829243028056)	(9, 41.16973880412708)	(10, 41.0993922347792)	(11, 41.264702155669504)	(12, 41.2719106520698)	(13, 41.225032625323834)	(14, 41.20710605682068)	(15, 41.2047600401168)	(16, 41.19891883649827)	(17, 41.209006307443296)	(18, 41.206166132515726)	(19, 41.214136948331365)	(20, 41.188983772167504)	(21, 41.188392256970864)	(22, 41.19675844231707)	(23, 41.17426576019689)	(24, 41.1845750045994)	(25, 41.18405629237444)	(26, 41.14710910638468)	(27, 41.12848937055138)	(28, 41.122357026632145)	(29, 41.105832971227436)	(30, 41.08880881596024)	(31, 40.94851548512765)	(32, 41.0471453289055)	(33, 41.08584644371442)	(34, 41.076447844938976)	(35, 41.059674097533076)	(36, 41.07539903831355)	(37, 41.035835598433984)	(38, 41.03710660803295)	(39, 41.04633798189017)	(40, 41.03935934816643)	(41, 40.96237482291411)	(42, 40.988861718021276)	(43, 40.98801371015254)	(44, 40.984103539140726)	(45, 40.97681944791438)	(46, 40.967518921971966)	(47, 40.95528036302697)	(48, 40.956041179136115)	(49, 40.94988234839336)	(50, 40.933944009718516)
C-FLT-4_S62_L006_R1_001	(1, 31.053203954871922)	(2, 31.498824320687554)	(3, 35.92655758628317)	(4, 36.46772749394696)	(5, 36.642351236627285)	(6, 40.99070574308088)	(7, 40.95887642237953)	(8, 41.15779598834109)	(9, 41.179832241672614)	(10, 41.1496425542755)	(11, 41.284756355530654)	(12, 41.29236806213048)	(13, 41.24531845078725)	(14, 41.230964488384885)	(15, 41.20690859372924)	(16, 41.219893423472136)	(17, 41.217904426784806)	(18, 41.21378882301502)	(19, 41.22266138939879)	(20, 41.17092786877008)	(21, 41.18801428708157)	(22, 41.20699500870032)	(23, 41.18525409124056)	(24, 41.193817161316126)	(25, 41.134849908814054)	(26, 41.15177003276943)	(27, 41.1420455890531)	(28, 41.12757965027643)	(29, 41.12164962258443)	(30, 41.11426128779221)	(31, 41.11069467325047)	(32, 41.109478255451656)	(33, 41.119339510769265)	(34, 41.11061399507159)	(35, 41.03702540208015)	(36, 40.98492283869258)	(37, 41.04833828367668)	(38, 41.044456145564055)	(39, 41.050266426796135)	(40, 41.04056572904245)	(41, 41.01877906248035)	(42, 41.012764870963565)	(43, 40.99780106576528)	(44, 40.989612920476006)	(45, 40.43307254892649)	(46, 40.904615808478866)	(47, 40.93074072444212)	(48, 40.94874096291839)	(49, 40.943727877948945)	(50, 40.93986643585882)
C-FLT-4_S62_L007_R1_001	(1, 31.052836262271168)	(2, 31.46336405463575)	(3, 35.905919523134195)	(4, 36.45996141598048)	(5, 36.637098659605314)	(6, 40.989945950314116)	(7, 40.95645709852812)	(8, 41.144827097661654)	(9, 41.17238807188414)	(10, 41.15762732434665)	(11, 41.292667551551666)	(12, 41.29329439228692)	(13, 41.23918162344659)	(14, 41.212971466632254)	(15, 41.19618578566612)	(16, 41.2104223684785)	(17, 41.21348573309452)	(18, 41.21142379198165)	(19, 41.14387915432492)	(20, 41.16490180886321)	(21, 41.19477402746059)	(22, 41.19718728303691)	(23, 41.174841733055814)	(24, 41.18472736453803)	(25, 41.17634914984633)	(26, 41.12925314135037)	(27, 41.08244647237362)	(28, 41.10521661351029)	(29, 41.11362031253543)	(30, 41.09892885283787)	(31, 41.09705158080798)	(32, 41.09293693203639)	(33, 41.11393786949052)	(34, 41.10284856492547)	(35, 41.082569831321045)	(36, 41.08782632596649)	(37, 41.06667957380444)	(38, 41.06499391441504)	(39, 41.05883084230745)	(40, 41.04790877406395)	(41, 41.01243916169396)	(42, 41.01147297305183)	(43, 41.00063378429277)	(44, 40.994887621106905)	(45, 40.99031070868681)	(46, 40.98591831761443)	(47, 40.92566397214777)	(48, 40.94429782129632)	(49, 40.87906391094104)	(50, 40.9278631593231)
C-GC-2_S57_L005_R1_001	(1, 30.963130846452245)	(2, 31.512435021293133)	(3, 35.85468245687538)	(4, 36.43823914396944)	(5, 36.62040933037585)	(6, 40.92465618746982)	(7, 40.893283694563536)	(8, 41.09674890063249)	(9, 41.11444468231457)	(10, 41.04349283639215)	(11, 41.2190807728597)	(12, 41.227925243717074)	(13, 41.17719808050075)	(14, 41.158638497427425)	(15, 41.156076654491784)	(16, 41.15121241565711)	(17, 41.16295498853362)	(18, 41.157931543562846)	(19, 41.165519661800566)	(20, 41.13729984349054)	(21, 41.136294761394815)	(22, 41.14513388607083)	(23, 41.121405960787804)	(24, 41.133153643984734)	(25, 41.13212709854325)	(26, 41.09491712593378)	(27, 41.07605925738868)	(28, 41.06881620370964)	(29, 41.05122160637183)	(30, 41.03380461232362)	(31, 40.89029101230652)	(32, 40.98556365930076)	(33, 41.027101837443226)	(34, 41.016965084482635)	(35, 40.99601426455531)	(36, 41.008187362271954)	(37, 40.97395749266924)	(38, 40.97344307995395)	(39, 40.983066756744584)	(40, 40.97740051208555)	(41, 40.871558936264)	(42, 40.906522254777144)	(43, 40.9223744687134)	(44, 40.926159800977395)	(45, 40.92016295789748)	(46, 40.913973416427666)	(47, 40.89833717249431)	(48, 40.90112072471577)	(49, 40.89658173812061)	(50, 40.87729035716344)
C-GC-2_S57_L006_R1_001	(1, 30.99603107941674)	(2, 31.477844246945782)	(3, 35.86692582315406)	(4, 36.44108477534062)	(5, 36.62369511529247)	(6, 40.92526031435705)	(7, 40.887401428659054)	(8, 41.098926954388084)	(9, 41.12433234696858)	(10, 41.092319995442054)	(11, 41.23538031197333)	(12, 41.24463443469683)	(13, 41.194468697328006)	(14, 41.17800430671963)	(15, 41.15646523332059)	(16, 41.169402611471504)	(17, 41.168389531736885)	(18, 41.16061840792937)	(19, 41.16839595920289)	(20, 41.11756049574649)	(21, 41.13382039771414)	(22, 41.153378859366015)	(23, 41.129766253692715)	(24, 41.13810600986322)	(25, 41.07879946361606)	(26, 41.09449692263243)	(27, 41.08631650413774)	(28, 41.069504951013585)	(29, 41.06133119803919)	(30, 41.05498181384202)	(31, 41.04518357834807)	(32, 41.04574657675938)	(33, 41.05743424920492)	(34, 41.04933270603381)	(35, 40.969954056314286)	(36, 40.911823339589134)	(37, 40.97917850160214)	(38, 40.977547274210856)	(39, 40.98241754771223)	(40, 40.97512213574063)	(41, 40.92059072062765)	(42, 40.92324050300238)	(43, 40.92743089343285)	(44, 40.92679489170394)	(45, 40.3758644049075)	(46, 40.84473178303382)	(47, 40.86541441642537)	(48, 40.884950818379096)	(49, 40.88253996316665)	(50, 40.87916324232174)
