Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C-FLT-2_S61_L005_R1_001	(1.0, 22.287406183116165)	(2.0, 9.944672552152348)	(3.0, 5.501394698046804)	(4.0, 3.4652681041498363)	(5.0, 2.6192150811875052)	(6.0, 2.028760250991159)	(7.0, 1.686867070965644)	(8.0, 1.502979897353243)	(9.0, 1.217270920848494)	('>10', 16.636126896763663)	('>50', 6.332259234116785)	('>100', 13.568405391528108)	('>500', 4.789514324038236)	('>1k', 6.583673193875994)	('>5k', 0.8462101549488137)	('>10k+', 0.9899760459170965)
C-FLT-2_S61_L006_R1_001	(1.0, 22.662870992359334)	(2.0, 9.974799287850521)	(3.0, 5.54632960411444)	(4.0, 3.6686110758560786)	(5.0, 2.606338798591492)	(6.0, 2.0530175605810017)	(7.0, 1.6244514689301535)	(8.0, 1.3944655213644714)	(9.0, 1.2805787287235024)	('>10', 16.547932078874915)	('>50', 6.234340584405859)	('>100', 13.495845154608025)	('>500', 4.698334980612775)	('>1k', 6.479052049154993)	('>5k', 0.7407214827114412)	('>10k+', 0.9923106312610058)
C-FLT-2_S61_L007_R1_001	(1.0, 23.054350142409152)	(2.0, 9.938461618622732)	(3.0, 5.382533693018873)	(4.0, 3.517269779900977)	(5.0, 2.6567377151216336)	(6.0, 2.0117815793993894)	(7.0, 1.6808430544951907)	(8.0, 1.3957914584847064)	(9.0, 1.2169232761995374)	('>10', 16.54695852337705)	('>50', 6.270698628560282)	('>100', 13.530847311286532)	('>500', 4.613643728878734)	('>1k', 6.582563963569717)	('>5k', 0.5896482703994449)	('>10k+', 1.010947256276113)
C-FLT-4_S62_L005_R1_001	(1.0, 19.961397232774704)	(2.0, 9.339182782649361)	(3.0, 5.47351283963326)	(4.0, 3.4644442431224545)	(5.0, 2.53184979627684)	(6.0, 1.9514475223226124)	(7.0, 1.6055525654990788)	(8.0, 1.3661696519275184)	(9.0, 1.2090775690008806)	('>10', 16.473053043901913)	('>50', 6.240513253639489)	('>100', 14.156322894639281)	('>500', 5.5187098339252945)	('>1k', 8.011390398439227)	('>5k', 1.5732528069792633)	('>10k+', 1.124123565268798)
C-FLT-4_S62_L006_R1_001	(1.0, 19.79482206506286)	(2.0, 9.615788632227886)	(3.0, 5.475846417318272)	(4.0, 3.586370774530963)	(5.0, 2.5390948038967722)	(6.0, 2.056008009368883)	(7.0, 1.7242666383037297)	(8.0, 1.354944685309144)	(9.0, 1.1044377361710154)	('>10', 16.237920328368386)	('>50', 6.12651534274911)	('>100', 14.40751239022178)	('>500', 5.5538091687352065)	('>1k', 7.799006149821788)	('>5k', 1.4824967513450376)	('>10k+', 1.1411601065691965)
C-FLT-4_S62_L007_R1_001	(1.0, 20.540893258383214)	(2.0, 9.483899543824242)	(3.0, 5.453584092189408)	(4.0, 3.4836333106443558)	(5.0, 2.5151486477654657)	(6.0, 1.9664202968767073)	(7.0, 1.5998158766601815)	(8.0, 1.3820401309262074)	(9.0, 1.1788901141627899)	('>10', 16.42340572577764)	('>50', 6.170177531576459)	('>100', 14.0551218342117)	('>500', 5.41823817751196)	('>1k', 7.71392668033431)	('>5k', 1.4746460994249326)	('>10k+', 1.140158679730462)
C-GC-2_S57_L005_R1_001	(1.0, 21.70722534475233)	(2.0, 9.981378898469172)	(3.0, 5.675331675466806)	(4.0, 3.6168613696381726)	(5.0, 2.6290453044094777)	(6.0, 2.084089535626635)	(7.0, 1.7601473900215472)	(8.0, 1.4383471976212223)	(9.0, 1.2993775681839113)	('>10', 16.870043975454127)	('>50', 6.470431869522376)	('>100', 13.651770571765534)	('>500', 4.817162100327109)	('>1k', 6.418968074088186)	('>5k', 0.7149504194194124)	('>10k+', 0.864868705233913)
C-GC-2_S57_L006_R1_001	(1.0, 21.98171675485283)	(2.0, 10.220096180548733)	(3.0, 5.695578960464054)	(4.0, 3.646215913222264)	(5.0, 2.6631524626226524)	(6.0, 2.03525434263857)	(7.0, 1.7120607362345375)	(8.0, 1.3707117506743174)	(9.0, 1.2460177956260663)	('>10', 16.74053959906961)	('>50', 6.453980255874403)	('>100', 13.625829349538812)	('>500', 4.741564486581359)	('>1k', 6.322801725387403)	('>5k', 0.6568714500975144)	('>10k+', 0.8876082365666881)
C-GC-2_S57_L007_R1_001	(1.0, 22.563218780146297)	(2.0, 10.1105637547353)	(3.0, 5.6293331304215855)	(4.0, 3.6984751084553458)	(5.0, 2.708211557432658)	(6.0, 1.9665303649752508)	(7.0, 1.6507425350491531)	(8.0, 1.3888159300533545)	(9.0, 1.2353004662527183)	('>10', 16.79173448192567)	('>50', 6.278920736078558)	('>100', 13.435627028577665)	('>500', 4.725967096159016)	('>1k', 6.249810456125111)	('>5k', 0.651662588936447)	('>10k+', 0.915085984675836)
C-GC-3_S58_L005_R1_001	(1.0, 21.992685250739623)	(2.0, 9.937312980095433)	(3.0, 5.523423434794354)	(4.0, 3.5836627513017207)	(5.0, 2.6309251330461407)	(6.0, 2.0034029664970388)	(7.0, 1.7217889852769939)	(8.0, 1.4675148078733715)	(9.0, 1.15879595768114)	('>10', 16.76780984718983)	('>50', 6.23225122946314)	('>100', 13.219683526824957)	('>500', 4.859374508895767)	('>1k', 6.883182344332527)	('>5k', 0.7886645604410414)	('>10k+', 1.229521715546942)
C-GC-3_S58_L006_R1_001	(1.0, 22.115596067859254)	(2.0, 10.068902894247655)	(3.0, 5.557073217608424)	(4.0, 3.618188490725436)	(5.0, 2.633386277087295)	(6.0, 2.0850366426982356)	(7.0, 1.7222192907287794)	(8.0, 1.4010662113018826)	(9.0, 1.200092229270285)	('>10', 16.498907536819637)	('>50', 6.151730590675665)	('>100', 13.336619287206345)	('>500', 4.822104628450839)	('>1k', 6.788486117738038)	('>5k', 0.7410280586321318)	('>10k+', 1.2595624589499794)
C-GC-3_S58_L007_R1_001	(1.0, 22.5815221687714)	(2.0, 10.112214841797005)	(3.0, 5.487638911654739)	(4.0, 3.566687906086905)	(5.0, 2.5740115808260673)	(6.0, 2.051855714556685)	(7.0, 1.593933873887695)	(8.0, 1.4162515659146435)	(9.0, 1.2784010443504006)	('>10', 16.535023661096957)	('>50', 6.2256831286170415)	('>100', 13.119547441910543)	('>500', 4.7547188968360325)	('>1k', 6.6766455271548955)	('>5k', 0.7345583477810358)	('>10k+', 1.2913053887578314)
C-GC-5_S59_L005_R1_001	(1.0, 24.11181252155655)	(2.0, 10.558450866839973)	(3.0, 5.947110598845121)	(4.0, 3.8383965921706036)	(5.0, 2.7229906721539097)	(6.0, 2.064631653373248)	(7.0, 1.6512896093528442)	(8.0, 1.4666562970328025)	(9.0, 1.1782558510066055)	('>10', 16.148321562178346)	('>50', 6.150127157593526)	('>100', 12.933200884372711)	('>500', 4.020066066976554)	('>1k', 5.571488892272959)	('>5k', 0.6650485218296549)	('>10k+', 0.9721522524446198)
C-GC-5_S59_L006_R1_001	(1.0, 24.199038069105345)	(2.0, 10.887056913989658)	(3.0, 5.988028125249474)	(4.0, 3.8345293958497386)	(5.0, 2.678188594698131)	(6.0, 2.080438711042163)	(7.0, 1.7351711565721646)	(8.0, 1.4353109945412459)	(9.0, 1.1962736843111454)	('>10', 16.008367620079675)	('>50', 5.992410842799166)	('>100', 12.890729255071346)	('>500', 3.953335656346507)	('>1k', 5.470960697177855)	('>5k', 0.6661872941136242)	('>10k+', 0.9839729890526557)
C-GC-5_S59_L007_R1_001	(1.0, 24.848053006030483)	(2.0, 10.783576895334182)	(3.0, 5.868933555349677)	(4.0, 3.800300308440246)	(5.0, 2.692796352921194)	(6.0, 2.034920695758916)	(7.0, 1.6420262154884484)	(8.0, 1.452162130892666)	(9.0, 1.1837003631323013)	('>10', 16.218732048501472)	('>50', 5.9542395312186445)	('>100', 12.5625706682345)	('>500', 3.8861663942583675)	('>1k', 5.407878772214923)	('>5k', 0.660796871502403)	('>10k+', 1.003146190721612)
