Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
C-FLT-1_S60_L006_R1_001 - polya	(1, 0.04788692161099557)	(2, 0.050894723287768534)	(3, 0.0532142991571443)	(4, 0.054990091672527205)	(5, 0.05635804667241548)	(6, 0.057233198007747725)	(7, 0.058737098846134206)	(8, 0.06104817810060383)	(9, 0.064191925615875)	(10, 0.06697031869018223)	(11, 0.06829579061553982)	(12, 0.07004609328620431)	(13, 0.07210227409348978)	(14, 0.07420093797530594)	(15, 0.07595124064597045)	(16, 0.07811787744703572)	(17, 0.08014007179469664)	(18, 0.0820603067634839)	(19, 0.08424393679436144)	(20, 0.08805042027231141)	(21, 0.09061639797396519)	(22, 0.09455033067550722)	(23, 0.09665749117222953)	(24, 0.09864569906026589)	(25, 0.10089730201039256)	(26, 0.10361621878035682)	(27, 0.10641160508447632)	(28, 0.10826386713401448)	(29, 0.11025207502205084)	(30, 0.11224877952499335)	(31, 0.11455136216455683)	(32, 0.11670100573580983)	(33, 0.11880816623253213)	(34, 0.12090683011434829)	(35, 0.12282706508313555)	(36, 0.12539304278478933)	(37, 0.1281119595547536)	(38, 0.13059297110734597)	(39, 0.13298051989597084)
C-FLT-1_S60_L007_R1_001 - polya	(1, 0.04831024319423268)	(2, 0.051450539124617355)	(3, 0.05354117812799499)	(4, 0.055805314144101066)	(5, 0.05761835792711321)	(6, 0.05873741365921162)	(7, 0.060073340657220566)	(8, 0.06221602876441673)	(9, 0.06574669297344038)	(10, 0.06883493980000652)	(11, 0.0705005111221995)	(12, 0.07232222975584807)	(13, 0.0744475681617714)	(14, 0.07667700477533178)	(15, 0.07874161922680015)	(16, 0.08100575524290622)	(17, 0.08320049245392093)	(18, 0.08496148713311454)	(19, 0.08723429799985703)	(20, 0.09138087660406663)	(21, 0.09453852223572415)	(22, 0.0984335301714775)	(23, 0.10051549432421873)	(24, 0.1028577039960526)	(25, 0.1054948585895248)	(26, 0.10847900720845388)	(27, 0.11118556060701747)	(28, 0.11319812595466731)	(29, 0.11556636017841045)	(30, 0.11753555127287818)	(31, 0.11979968728898426)	(32, 0.12218527121400023)	(33, 0.12443205752883346)	(34, 0.12660077018793892)	(35, 0.1287955073989536)	(36, 0.13181435542042838)	(37, 0.13455560822153764)	(38, 0.13724481191882837)	(39, 0.13955232218811656)
C-FLT-2_S61_L005_R1_001 - polya	(1, 0.10344278974308581)	(2, 0.10784299950604911)	(3, 0.11020716574580569)	(4, 0.11184777932855491)	(5, 0.11325281762762733)	(6, 0.11448958786693059)	(7, 0.11581890553910688)	(8, 0.1183345130326557)	(9, 0.12183448867585404)	(10, 0.12477076631882573)	(11, 0.12647027372249417)	(12, 0.12838011620087403)	(13, 0.13042457312706923)	(14, 0.13231758879947217)	(15, 0.1338151745314176)	(16, 0.13586804486060128)	(17, 0.13752548524932742)	(18, 0.13910720501115745)	(19, 0.14158074548976396)	(20, 0.14565283253617742)	(21, 0.1484544957313338)	(22, 0.15268643743452795)	(23, 0.15478978818164235)	(24, 0.1569436193466875)	(25, 0.1591984113475941)	(26, 0.1614784435574661)	(27, 0.1645745758572185)	(28, 0.16624884305192156)	(29, 0.16787262982869386)	(30, 0.16936180215765084)	(31, 0.17138101887488066)	(32, 0.17356850365187965)	(33, 0.17554565335416716)	(34, 0.17729564117576635)	(35, 0.17897832177345785)	(36, 0.18193142622240646)	(37, 0.1841441512083708)	(38, 0.18647466383617353)	(39, 0.1886873888221379)
C-FLT-2_S61_L006_R1_001 - polya	(1, 0.10041888828159141)	(2, 0.10466695575006033)	(3, 0.10736333390369927)	(4, 0.1091270026331235)	(5, 0.11080587959671001)	(6, 0.11196752678868654)	(7, 0.11357857033960289)	(8, 0.11566444777921038)	(9, 0.1196835774799175)	(10, 0.12278695610957742)	(11, 0.12420297859906705)	(12, 0.1259072930924049)	(13, 0.1279592538256773)	(14, 0.12996033949944708)	(15, 0.1316392164630336)	(16, 0.13378444813872747)	(17, 0.13592120063783758)	(18, 0.1378035778394346)	(19, 0.14049147681648977)	(20, 0.1450787113483095)	(21, 0.14808881903554794)	(22, 0.15261669933128125)	(23, 0.15478736853672645)	(24, 0.15676301668074494)	(25, 0.15872170647159586)	(26, 0.16125698027014318)	(27, 0.16412294195545754)	(28, 0.16565767291711994)	(29, 0.16736198741045777)	(30, 0.16915957284621708)	(31, 0.17094019992880882)	(32, 0.17278866042407076)	(33, 0.1746032042129976)	(34, 0.1763414354126705)	(35, 0.17797791649333816)	(36, 0.18072516970647973)	(37, 0.18309085997335164)	(38, 0.18512586235345652)	(39, 0.1873558857949881)
C-FLT-2_S61_L007_R1_001 - polya	(1, 0.10205973371169326)	(2, 0.10680247908224681)	(3, 0.10957555970874533)	(4, 0.11207219616063964)	(5, 0.11390363881739256)	(6, 0.11500077663535303)	(7, 0.11677174712891128)	(8, 0.11946707783130237)	(9, 0.12362237933082196)	(10, 0.126905153904247)	(11, 0.12857245783232865)	(12, 0.13018792847767205)	(13, 0.13210575993898876)	(14, 0.13380761938889596)	(15, 0.13563906204564888)	(16, 0.13792836536659003)	(17, 0.14013127988296736)	(18, 0.14201455582245856)	(19, 0.1449258585362592)	(20, 0.15068799180066578)	(21, 0.1544113492773663)	(22, 0.15889492823422838)	(23, 0.16113239827243125)	(24, 0.16292928540735863)	(25, 0.16504581111917216)	(26, 0.16781025286521428)	(27, 0.1712398884063978)	(28, 0.1729071923344795)	(29, 0.1749286903612728)	(30, 0.1765355221261598)	(31, 0.1786952422402552)	(32, 0.1805439626579209)	(33, 0.18250498852151953)	(34, 0.1844573755046618)	(35, 0.18634065144415302)	(36, 0.18956295385438338)	(37, 0.1920077570235394)	(38, 0.19423658818128586)	(39, 0.19659500254587808)
C-FLT-4_S62_L005_R1_001 - polya	(1, 0.09178042280128941)	(2, 0.09576060493041481)	(3, 0.09873142432535555)	(4, 0.10107944543750148)	(5, 0.10321986712204914)	(6, 0.10453704969715538)	(7, 0.10619784511794153)	(8, 0.10858165923484578)	(9, 0.11297704021916773)	(10, 0.11672814711783988)	(11, 0.11851063875480432)	(12, 0.12042914380985038)	(13, 0.12264115150391468)	(14, 0.1251323446350939)	(15, 0.12699358088252663)	(16, 0.12920558857659095)	(17, 0.13156076828968855)	(18, 0.13366539696947788)	(19, 0.1362782863168354)	(20, 0.14091705973351393)	(21, 0.14403820974843962)	(22, 0.14986531092309444)	(23, 0.15261421368853356)	(24, 0.15528437184350438)	(25, 0.15766818596040863)	(26, 0.16058173654773605)	(27, 0.16408945101405162)	(28, 0.16575024643483777)	(29, 0.16788350951843375)	(30, 0.1699666623953681)	(31, 0.17215719428657741)	(32, 0.17464122881680497)	(33, 0.1768460779099176)	(34, 0.1789793409935136)	(35, 0.18107681107235127)	(36, 0.18423375409203527)	(37, 0.18697549825652274)	(38, 0.18964565641149356)	(39, 0.1921296909417211)
C-FLT-4_S62_L006_R1_001 - polya	(1, 0.08788910882346235)	(2, 0.09171605754278521)	(3, 0.095041944665081)	(4, 0.09726404392146201)	(5, 0.09918114916226131)	(6, 0.10037207817548513)	(7, 0.10220204226897539)	(8, 0.10497603545831379)	(9, 0.1094710663070061)	(10, 0.11291314162571396)	(11, 0.11459060871141336)	(12, 0.11676187563186409)	(13, 0.11915099542058748)	(14, 0.12132952410331396)	(15, 0.12332650872914658)	(16, 0.12578098437835175)	(17, 0.12803939244611154)	(18, 0.12998554473601387)	(19, 0.13267965854031896)	(20, 0.1377701538956232)	(21, 0.14190935839280353)	(22, 0.1482851856709164)	(23, 0.1512552464417002)	(24, 0.15336115750166912)	(25, 0.15574301552811676)	(26, 0.15901080855220648)	(27, 0.16266347497691122)	(28, 0.16436272734943788)	(29, 0.16674458537588552)	(30, 0.1689085905340605)	(31, 0.17096366925809917)	(32, 0.17357790367737094)	(33, 0.17570560002416716)	(34, 0.1776299670272422)	(35, 0.17963421341535057)	(36, 0.18304724168495543)	(37, 0.185726831964709)	(38, 0.1881813076139142)	(39, 0.19067209207449812)
C-FLT-4_S62_L007_R1_001 - polya	(1, 0.08956450524308766)	(2, 0.09371586622837552)	(3, 0.09677398624244879)	(4, 0.09907865639798226)	(5, 0.10116172365394521)	(6, 0.10255782192123952)	(7, 0.10433064511780374)	(8, 0.10698249314933103)	(9, 0.11193162457307278)	(10, 0.11575058120900485)	(11, 0.11798877049466716)	(12, 0.12020479949037242)	(13, 0.12264243138564822)	(14, 0.12500619564773383)	(15, 0.12721483788012006)	(16, 0.12977804475181914)	(17, 0.13234125162351823)	(18, 0.1343799982995671)	(19, 0.13715003454419866)	(20, 0.1435691318684249)	(21, 0.14809721778298265)	(22, 0.1547305312434604)	(23, 0.15749318072477297)	(24, 0.1595319274008218)	(25, 0.1623979915686006)	(26, 0.16594363796172903)	(27, 0.1695853122780047)	(28, 0.17149848397763023)	(29, 0.17395088939954403)	(30, 0.1757458728860653)	(31, 0.1783090797577644)	(32, 0.18086489986614446)	(33, 0.18326559794482516)	(34, 0.1854373063606163)	(35, 0.1877050426995547)	(36, 0.19132455672587328)	(37, 0.1942275547102472)	(38, 0.19718226003785422)	(39, 0.1996642125130441)
C-GC-2_S57_L005_R1_001 - polya	(1, 0.0824569854502888)	(2, 0.08582979692608723)	(3, 0.08780316681052874)	(4, 0.08973722653790965)	(5, 0.09134108094598163)	(6, 0.09240245518661751)	(7, 0.09346382942725337)	(8, 0.0954529233745191)	(9, 0.09833828890276625)	(10, 0.10127868865089822)	(11, 0.10273316446213995)	(12, 0.10425839855609076)	(13, 0.10628680266041708)	(14, 0.10804003566531929)	(15, 0.10976968257598516)	(16, 0.11167229417771761)	(17, 0.1137321464076924)	(18, 0.1153438628471765)	(19, 0.11702633756936966)	(20, 0.11918053417628986)	(21, 0.12142907516015547)	(22, 0.12414147599733603)	(23, 0.1259733293163594)	(24, 0.1275850457558435)	(25, 0.1296448979858183)	(26, 0.13175978443567793)	(27, 0.13365453400599825)	(28, 0.13508542372300364)	(29, 0.1368072086022574)	(30, 0.13831671863338396)	(31, 0.1401171238267589)	(32, 0.14230276855932755)	(33, 0.14434689672647813)	(34, 0.14612371582561667)	(35, 0.14784550070487043)	(36, 0.15011762778297238)	(37, 0.15251554736366824)	(38, 0.15466188193917635)	(39, 0.15677676838903595)
C-GC-2_S57_L006_R1_001 - polya	(1, 0.079176859027499)	(2, 0.08290637633987868)	(3, 0.08490603243077163)	(4, 0.08673111537087233)	(5, 0.08831814401443815)	(6, 0.08946080463780555)	(7, 0.09088119527379696)	(8, 0.09307922994513562)	(9, 0.09608664922469286)	(10, 0.0988480790644974)	(11, 0.10032401570301362)	(12, 0.10215703378633215)	(13, 0.10410114387470028)	(14, 0.10606112424950408)	(15, 0.10774337461168385)	(16, 0.10955258726534889)	(17, 0.11139354049188524)	(18, 0.113123401713372)	(19, 0.11497229008312618)	(20, 0.11762262791788111)	(21, 0.11974924630025931)	(22, 0.12267731414763826)	(23, 0.12456587823348159)	(24, 0.12639096117358228)	(25, 0.12847790383987134)	(26, 0.1306441979383387)	(27, 0.13288190832576652)	(28, 0.13458002897438195)	(29, 0.13634956591195785)	(30, 0.13800801084448414)	(31, 0.13992038035998094)	(32, 0.1421184150313196)	(33, 0.143911757398549)	(34, 0.14575271062508535)	(35, 0.1474508312737008)	(36, 0.14983930938226736)	(37, 0.1521960469179626)	(38, 0.1542115732952912)	(39, 0.1563937376801942)
